"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/ui/popover.tsx", "TypeScript JSX", 24, 0, 0, 0, 6, 30
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/ui/select.tsx", "TypeScript JSX", 108, 0, 0, 0, 12, 120
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/ui/separator.tsx", "TypeScript JSX", 26, 0, 0, 0, 4, 30
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/ui/skeleton.tsx", "TypeScript JSX", 13, 0, 0, 0, 3, 16
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/ui/tabs.tsx", "TypeScript JSX", 47, 0, 0, 0, 7, 54
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/ui/textarea.tsx", "TypeScript JSX", 20, 0, 0, 0, 5, 25
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/ui/toast.tsx", "TypeScript JSX", 115, 0, 0, 0, 13, 128
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/ui/toaster.tsx", "TypeScript JSX", 31, 0, 0, 0, 3, 34
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/ui/use-toast.ts", "TypeScript", 0, 159, 0, 3, 31, 193
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/userprofile/BookmarkTab.tsx", "TypeScript JSX", 73, 0, 0, 1, 6, 80
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/userprofile/ProfilePictureUpdate.tsx", "TypeScript JSX", 51, 0, 0, 0, 3, 54
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/userprofile/UserCoverSection.tsx", "TypeScript JSX", 35, 0, 0, 0, 5, 40
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/userprofile/UserPostTab.tsx", "TypeScript JSX", 70, 0, 0, 0, 7, 77
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/userprofile/UserProfileTab.tsx", "TypeScript JSX", 21, 0, 0, 0, 2, 23
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/usersetting/AccountTab.tsx", "TypeScript JSX", 431, 0, 0, 7, 12, 450
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/usersetting/ProfileTab.tsx", "TypeScript JSX", 98, 0, 0, 4, 4, 106
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/usersinglepost/ActionButtons.tsx", "TypeScript JSX", 91, 0, 0, 0, 8, 99
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/usersinglepost/CommentCard.tsx", "TypeScript JSX", 179, 0, 0, 0, 9, 188
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/usersinglepost/CommentDialog.tsx", "TypeScript JSX", 95, 0, 0, 1, 4, 100
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/usersinglepost/CommentSection.tsx", "TypeScript JSX", 31, 0, 0, 0, 3, 34
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/components/usersinglepost/CommentTextArea.tsx", "TypeScript JSX", 78, 0, 0, 0, 4, 82
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/authorprofile/authorSlice.ts", "TypeScript", 0, 8, 0, 0, 3, 11
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/authorprofile/infoSlice.ts", "TypeScript", 0, 52, 0, 0, 5, 57
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/authorprofile/postSlice.ts", "TypeScript", 0, 99, 0, 2, 6, 107
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/bookmarks/bookmarkSlice.ts", "TypeScript", 0, 63, 0, 2, 6, 71
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/comment/commentSlice.ts", "TypeScript", 0, 327, 0, 17, 16, 360
"/Users/hritik/Documents/Data/Development/Social Hub/social-hub/src/features/community/communityGeneral.ts", "TypeScript", 0, 43, 0, 0, 5, 48
